key,enabled,identity,password,username
user-account-company-01,true,"UserIdentity{name:'Dani',surname:'Dianez',email:'dandiasua@alum.us.es'}",company1,company1
user-account-company-02,true,"UserIdentity{name:'Macarena',surname:'Navarro',email:'d@alum.us.es'}",company2,company2
user-account-student-01,true,"UserIdentity{name: 'Jose Luis', surname: 'Cobo', email: 'joseluis@acme.com'}",student1,student1
user-account-student-02,true,"UserIdentity{name: 'Daniel', surname: 'Dianez', email: 'daniel@acme.com'}",student2,student2
user-account-assistant-01,true,"UserIdentity{name: 'Maria', surname: 'Escalante', email: 'marescram@acme.com'}",assistant1,assistant1
user-account-assistant-02,true,"UserIdentity{name: 'Francisco', surname: 'Campos', email: 'francamcam@acme.com'}",assistant2,assistant2
user-account-administrator-02,true,"UserIdentity{name: 'Administrator', surname: '1', email: 'administrator1@acme.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Administrator', surname: '2', email: 'administrator2@acme.com'}",administrator2,administrator2
user-account-auditor-01,true,"UserIdentity{name: 'Auditor', surname: '1', email: 'auditor1@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Auditor', surname: '2', email: 'auditor2@acme.com'}",auditor2,auditor2

